epoch,accuracy,loss,val_accuracy,val_loss
0,0.4080459773540497,1.4948482513427734,0.5028571486473083,1.309726357460022
1,0.5,1.2020541429519653,0.49714285135269165,1.0815271139144897
2,0.49042144417762756,1.01398503780365,0.49142858386039734,0.9321914315223694
3,0.4885057508945465,0.892471432685852,0.5028571486473083,0.8374744653701782
4,0.501915693283081,0.8204808831214905,0.5142857432365417,0.7834287881851196
5,0.484674334526062,0.7739959359169006,0.48571428656578064,0.7588832974433899
6,0.5,0.748429536819458,0.508571445941925,0.7392061352729797
7,0.46168583631515503,0.7379559874534607,0.5314285755157471,0.7251472473144531
8,0.5038314461708069,0.7235267162322998,0.49714285135269165,0.7194908261299133
9,0.5191571116447449,0.7159871459007263,0.47999998927116394,0.7169457077980042
10,0.50957852602005,0.712413489818573,0.5257142782211304,0.7102603316307068
11,0.49425286054611206,0.7111886739730835,0.47999998927116394,0.7155078053474426
12,0.517241358757019,0.706856369972229,0.5257142782211304,0.7064604163169861
13,0.5268199443817139,0.704169750213623,0.47428572177886963,0.7080296277999878
14,0.5,0.7040554881095886,0.47428572177886963,0.7073543071746826
15,0.501915693283081,0.7026370763778687,0.5371428728103638,0.7015064358711243
16,0.492337167263031,0.7054672241210938,0.5314285755157471,0.7003211379051208
17,0.49042144417762756,0.7036007046699524,0.47428572177886963,0.7067074179649353
18,0.5191571116447449,0.6991683840751648,0.508571445941925,0.6996365785598755
19,0.5038314461708069,0.6989462375640869,0.5199999809265137,0.7004554867744446
20,0.5038314461708069,0.6974206566810608,0.5199999809265137,0.6998829245567322
21,0.5421456098556519,0.6954440474510193,0.4628571569919586,0.7030224800109863
22,0.5287356376647949,0.6964325904846191,0.46857142448425293,0.7064356803894043
23,0.5287356376647949,0.6966788172721863,0.47999998927116394,0.7008437514305115
24,0.538314163684845,0.6937183737754822,0.5199999809265137,0.6980564594268799
25,0.507662832736969,0.6956994533538818,0.5199999809265137,0.6982728838920593
26,0.5287356376647949,0.6941044926643372,0.4628571569919586,0.7014152407646179
27,0.5574712753295898,0.6933456063270569,0.5257142782211304,0.6985607147216797
28,0.5363984704017639,0.6932823657989502,0.4628571569919586,0.7005511522293091
29,0.5478927493095398,0.6917754411697388,0.47999998927116394,0.6986093521118164
30,0.5363984704017639,0.692922830581665,0.4628571569919586,0.7004228234291077
31,0.5363984704017639,0.6920231580734253,0.47428572177886963,0.7016158699989319
32,0.532567024230957,0.6913808584213257,0.46857142448425293,0.7036412954330444
33,0.5421456098556519,0.691578209400177,0.48571428656578064,0.6992697715759277
34,0.530651330947876,0.6912640929222107,0.4628571569919586,0.7031057476997375
35,0.522988498210907,0.693030059337616,0.4628571569919586,0.7030889391899109
36,0.532567024230957,0.6921923160552979,0.4285714328289032,0.7032610177993774
37,0.5478927493095398,0.6922177076339722,0.4457142949104309,0.7074950337409973
38,0.515325665473938,0.6927006244659424,0.4628571569919586,0.7098047733306885
39,0.5287356376647949,0.6912301182746887,0.5142857432365417,0.6992925405502319
